route_id,weekly_trips,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,2261,1,GARE DE L'OUEST - STOCKEL,,1,,B5378C,FFFFFF
2,2332,5,ERASME - HERRMANN-DEBROUX,,1,,F6A90B,FFFFFF
3,2123,2,SIMONIS - ELISABETH,,1,,ED6C23,FFFFFF
4,2181,6,ROI BAUDOUIN - ELISABETH,,1,,0066A3,FFFFFF
5,2267,4,GARE DU NORD - STALLE (P),,0,,EA4F80,000000
6,2335,35,BIENFAITEURS - ESPLANADE,,0,,336195,FFFFFF
7,2391,10,HOPITAL MILITAIRE - CHURCHILL,,0,,8F4199,FFFFFF
8,4263,7,VANDERKINDERE - HEYSEL,,0,,EFE048,000000
9,4179,8,LOUISE - ROODEBEEK,,0,,169FDB,FFFFFF
10,4105,81,MARIUS RENARD - MONTGOMERY,,0,,4C8B33,FFFFFF
11,21472,9,GROOT-BIJGAARDEN - ROI BAUDOUIN,,0,,C44F97,FFFFFF
12,3088,82,GARE DE BERCHEM - DROGENBOS,,0,,91BEE7,000000
13,3438,51,STADE - GARE DU MIDI,,0,,F3C300,000000
14,1615,19,SIMONIS - DE WAND,,0,,E43C2E,FFFFFF
15,3505,62,EUROCONTROL - HEYSEL,,0,,F29DC3,000000
16,1367,12,BRUSSELS AIRPORT - BRUSSELS CITY,,3,,4C8B33,FFFFFF
17,1078,21,MAES - LUXEMBOURG,,3,,FFDC01,000000
18,1148,13,ETANGS NOIRS - UZ-VUB,,3,,91BEE7,000000
19,1049,14,UZ-VUB - GARE DU NORD,,3,,F29DC3,000000
20,1018,17,BEAULIEU - HEILIGENBORRE,,3,,E43C2E,FFFFFF
21,2886,18,ALBERT - VAN HAELEN,,0,,91BEE7,000000
22,1477,20,HUNDERENVELD - GARE DU NORD,,3,,F3C300,000000
23,1811,87,SIMONIS - BEEKKANT,,3,,4C8B33,FFFFFF
24,5558,25,BOONDAEL GARE - ROGIER,,0,,A12944,FFFFFF
25,6367,55,DA VINCI - ROGIER,,0,,F3C300,000000
26,1918,27,LUXEMBOURG - PLEIADES,,3,,91BEE7,000000
27,2704,28,BRABANCONNE - KONKEL,,3,,E43C2E,FFFFFF
28,3072,29,DE BROUCKERE - HOF TEN BERG,,3,,ED7807,FFFFFF
29,1247,52,GARE CENTRALE - FOREST (BERVOETS),,3,,FFDC01,000000
30,3058,46,MOORTEBEEK - PANNENHUIS,,3,,E43C2E,FFFFFF
31,1176,33,DANSAERT - LOUISE,,3,,F29DC3,000000
32,1745,34,PORTE DE NAMUR - SAINTE-ANNE,,3,,F3C300,000000
33,1981,36,MAELBEEK - KONKEL,,3,,91BEE7,000000
34,948,37,ALBERT - GARE DE LINKEBEEK,,3,,306196,FFFFFF
35,1693,43,OBSERVATOIRE - VIVIER D'OIE,,3,,9B6018,FFFFFF
36,1745,38,GARE CENTRALE - HEROS,,3,,A67CB0,FFFFFF
37,1589,44,MONTGOMERY - TERVUREN STATION,,0,,F3C300,000000
38,1822,39,MONTGOMERY - BAN-EIK,,0,,E43C2E,FFFFFF
39,2325,41,HEROS - TRANSVAAL,,3,,91BEE7,000000
40,2729,45,ROODEBEEK - SAINT-VINCENT,,3,,A67CB0,FFFFFF
41,1005,42,ROODEBEEK - VIADUC E40,,3,,4C8B33,FFFFFF
42,1100,47,HEEMBEEK - VILVOORDE STATION,,3,,E43C2E,FFFFFF
43,1885,48,ANNEESSENS - DECROLY,,3,,ED7807,FFFFFF
44,2819,49,GARE DU MIDI - SIMONIS,,3,,306196,FFFFFF
45,2112,50,GARE DU MIDI - LOT STATION,,3,,B4BD10,000000
46,2857,74,UCCLE-STALLE - CLEMENCE EVERARD,,3,,A67CB0,FFFFFF
47,2678,53,WESTLAND SHOPPING - HOPITAL MILITAIRE,,3,,4C8B33,FFFFFF
48,2829,54,TRONE - FOREST (BERVOETS),,3,,E43C2E,FFFFFF
49,1055,56,SCHUMAN - BUDA,,3,,ED7807,FFFFFF
50,1186,58,VILVOORDE STATION - ALBERT II,,3,,4C8B33,FFFFFF
51,2816,59,HOPITAL ETTERBEEK-IXELLES - BORDET STATION,,3,,9B6018,FFFFFF
52,4884,60,AMBIORIX - UCCLE CALEVOET,,3,,F29DC3,000000
53,1194,61,GARE DU NORD - MONTGOMERY,,3,,FFDC01,000000
54,1510,63,GARE CENTRALE - CIMETIERE DE BRUXELLES,,3,,91BEE7,000000
55,5404,80,PORTE DE NAMUR - HAREN,,3,,4C8B33,FFFFFF
56,1400,64,PORTE DE NAMUR - BORDET STATION,,3,,E43C2E,FFFFFF
57,2942,65,GARE CENTRALE - MACHELEN,,3,,F3C300,000000
58,2262,66,GARE CENTRALE - PEAGE,,3,,306196,FFFFFF
59,405,69,SCHAERBEEK GARE - JULES BORDET,,3,,ED7807,FFFFFF
60,9108,71,DE BROUCKERE - DELTA,,3,,4C8B33,FFFFFF
61,258,72,ULB - ADEPS,,3,,F29DC3,000000
62,854,73,CERIA - GARE DU MIDI,,3,,F29DC3,000000
63,1842,75,HEROS - BON AIR,,3,,FFDC01,000000
64,4159,89,WESTLAND SHOPPING - GARE CENTRALE,,3,,B4BD10,000000
65,666,76,KRAAINEM - OPPEM,,3,,FFDC01,000000
66,235,77,KRAAINEM - HIPPODROME,,3,,4C8B33,FFFFFF
67,460,78,HUMANITE - GARE DU MIDI,,3,,A67CB0,FFFFFF
68,1298,79,KRAAINEM - SCHUMAN,,3,,306196,FFFFFF
69,1112,83,GARE DE BERCHEM - VAL MARIA,,3,,B4BD10,000000
70,1474,86,MACHTENS - BOCKSTAEL,,3,,306196,FFFFFF
71,1192,88,DE BROUCKERE - UZ-VUB,,3,,A12944,FFFFFF
72,3584,92,SCHAERBEEK GARE - FORT-JACO,,0,,E43C2E,FFFFFF
73,1885,93,STADE - LEGRAND,,0,,ED7807,FFFFFF
74,2398,95,GRAND-PLACE - WIENER,,3,,306196,FFFFFF
75,2296,97,LOUISE - DIEWEG,,0,,A12944,FFFFFF
76,60,N06,GARE CENTRALE - MUSEE DU TRAM,,3,,169FDB,FFFFFF
77,60,N04,GARE CENTRALE - CIMETIERE DE BRUXELLES,,3,,C44F97,FFFFFF
78,90,N05,GARE CENTRALE - KRAAINEM,,3,,A67CB0,FFFFFF
79,90,N09,GARE CENTRALE - HERRMANN-DEBROUX,,3,,C44F97,FFFFFF
80,126,N08,GARE CENTRALE - WIENER,,3,,91BEE7,000000
81,60,N10,GARE CENTRALE - FORT-JACO,,3,,C1D66B,000000
82,60,N12,GARE CENTRALE - STALLE P,,3,,ED7807,FFFFFF
83,66,N11,GARE CENTRALE - HOMBORCH,,3,,9B6018,FFFFFF
84,60,N13,GARE CENTRALE - WESTLAND SHOPPING,,3,,A12944,FFFFFF
85,60,N16,GARE CENTRALE - GARE DE BERCHEM,,3,,74C095,FFFFFF
86,60,N18,GARE CENTRALE - HEYSEL,,3,,23A845,FFFFFF
87,68,240,CERIA - FOREST NATIONAL,,3,,F3C300,000000
88,1704,T8,LOUISE - ROODEBEEK,,3,,169FDB,FFFFFF
89,1176,T44,MONTGOMERY - TERVUREN STATION,,3,,F3C300,000000
90,1757,T92,SCHAERBEEK GARE - FORT-JACO,,3,,E43C2E,FFFFFF
91,2694,T9,GROOT-BIJGAARDEN - ROI BAUDOUIN,,3,,C44F97,FFFFFF
